"","docid","x","y","topicid","topicid_orig","label_x","label_y","title","contributor1","publishername","cover_url","concept","description","calais"
"14",10040364,-0.230284209982456,-0.00547215169156114,3,2,"Finance","Risk","Fixed Income Securities  : Tools for Today's Markets Ed. 2","Tuckman, Bruce","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471356158.jpg","barbell call option continuous compounding equity derivatives eurodollar forward difference fixed income forward contract futures rates interest rate risk interest rate swaps asset management liquidity premiums mathematical analysis normally distributed repurchase agreements volatility","""Praise for Fixed Income Securities, Second Edition  """"What distinguishes this book from many others on the subject is that Tuckman has skillfully combined intuitive rationale with mathematical analysis to give readers a clear and deep understanding of the market. Tuckman has written a comprehensive reference book that should be found on the desks of both seasoned practitioners and novices alike."""" 	-- Gerald Lucas, Senior Government Strategist, Director, Global Securities Research, Merrill Lynch  """"This outstanding book offers a well-written and clear tutorial for many of the cutting-edge analytical techniques and models used in practice. Combines a wealth of institutional knowledge, practical tools, and realistic examples, while giving a clear understanding of the underlying theory."""" 	-- Francis Longstaff, Professor of Finance, The Anderson School at UCLA  """"An excellent reference for anyone intending to bridge the gap between financial mathematics theory and the practice of financial markets."""" 	-- Marek Musiela, BNP Paribas  """"This is an extremely readable book with a balance between technical detail and practical application. Unlike other books in the area, thorough and tightly knit chapters reflect Tuckman s unique background as a well-respected academic and market participant."""" 	-- Tony D. Kao, Managing Director, Global Fixed Income GM Asset Management""","Fixed income analysis Convex geometry Options Mathematical finance Interest rate swap Futures contract Bond valuation Fixed income Convexity Bond convexity Arbitrage Bond"
"15",10040365,0.0411327519617959,0.0521638790225212,5,3,"Economics","Economics theory","Six Sigma Revolution : How General Electric and Others Turned Process into Profits","Eckes, George","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471436801.jpg","general electric revolutionary root cause analysis","""Applying this revolutionary management strategy to drive positive change in an organization  Currently exploding onto the American business scene, the Six Sigma methodology fuels improved effectiveness and efficiency in an organization; according to General Electric's Jack Welch, it's the """"most important initiative [they] have ever undertaken."""" Written by the consultant to GE Capital who helped implement Six Sigma at GE and GE's General Manager of e-Commerce, Making Six Sigma Last offers businesses the tools they need to make Six Sigma work for them--and cultivate long-lasting, positive results.  Successful Six Sigma occurs when the technical and cultural components of change balance in an organization; this timely, comprehensive book is devoted to the cultural component of implementing Six Sigma, explaining how to manage it to maintain that balance. The authors address how to create the need for Six Sigma; diagnose the four types of resistance to Six Sigma and how to overcome them; manage the systems and structures; and lead a Six Sigma initiative.  This book applies the Six Sigma approach to business operations across the organization--unlike other titles that focus on product development. Plus, it provides strategies, tactics, and tools to improve profitability by centering on the relationship between product defects and product yields, reliability, costs, cycle time, and schedule.""","Six Sigma Process management Quality National Pan-Hellenic Council"
"16",10040367,-0.0988741669708178,0.0057383436496664,4,2,"Finance","Financial management","Valuation of Companies in Emerging Markets : A Practical Approach","Pereiro, Luis E.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471426741.jpg","ceos real options unsystematic risk present value","A comprehensive guide focusing on the valuation issues for emerging markets  Valuation of Companies in Emerging Markets takes a practical, step-by-step approach to valuing both public and closely held companies in emerging economies for merger or acquisition purposes. These extremely volatile markets present their own special set of challenges, which often differ from country to country. The author provides real world, best valuation practices in both developed and emerging markets and offers links to relevant Internet resources to provide CEOs, CFOs, venture capitalists, and financial analysts with the information they need to accurately value companies around the world.","Investment Corporate finance Financial economics Valuation Financial accounting Relative valuation Emerging markets Mergers and acquisitions Developed market"
"17",10040369,-0.220998244057895,-0.0155918891710757,3,2,"Finance","Risk","Handbook of Financial Instruments","Fabozzi, Frank J.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471445606.jpg","institutional investors","An investor's guide to understanding and using financial instruments  The Handbook of Financial Instruments provides comprehensive coverage of a broad range of financial instruments, including equities, bonds (asset-backed and mortgage-backed securities), derivatives (equity and fixed income), insurance investment products, mutual funds, alternative investments (hedge funds and private equity), and exchange traded funds.  The Handbook of Financial Instruments explores the basic features of each instrument introduced, explains their risk characteristics, and examines the markets in which they trade. Written by experts in their respective fields, this book arms individual investors and institutional investors alike with the knowledge to choose and effectively use any financial instrument available in the market today.","Structured finance United States housing bubble Fixed income securities Financial markets Mortgage-backed security Collateralized debt obligation Asset-backed security Derivative Bond Private equity Money market Mutual fund"
"18",10040370,0.00154155514900804,-0.127683738600899,2,1,"Business","Strategy - Marketing","Project Management : A Systems Approach to Planning, Scheduling and Controlling","Kerzner, Harold","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471437786.jpg","downside risk matrix project management quasar scheduling","""Project management at its best–a banner edition of the landmark reference  This latest edition of the bestselling """"bible"""" of project management brings outstanding coverage of the basic principles and concepts of project management right up to date with the latest developments in the field. Written by one of the best-known and respected authorities on the subject, it is essential reading for today’s and tomorrow’s professionals involved in project management. It covers every key aspect of the subject, from the intricate framework of organizational behavior and structure that can determine project success to the planning, scheduling, and controlling processes vital to effective project management. New features include:   Up-to-date coverage of global project management, the project management maturity model, """"six sigma"""", and conflict resolution modes  Dozens of real-world case studies and hundreds of sample problems across a wide range of industries""","Project management Management IEEE standards Risk Actuarial science Risk management Quality management Program management Outline of business management"
"19",10040665,0.0410693643825171,-0.071810681253029,2,1,"Business","Strategy - Marketing","Project Marketing : Beyond Competitive Bidding","Cova, Bernard","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471486647.jpg","project management","Project Marketing: Beyond Competitive Bidding is the first English language book that focuses specifically on this important, emerging subject. Project marketing relates to the various marketing activities that take place prior to winning a contract. It deals with marketing of large and complex projects such as the construction of buildings and power stations.  Features :  The authors are all leading international figures in the field of project marketing. Bernard Cova is co-founder and leader of The European Network on Project Marketing and System Selling.  The book provides models and methods that are necessary to develop a constructive approach to project marketing.  It contains more than 20 short cases drawn from a wide variety of industries e.g. aerospace, construction, engineering, transport and energy. The cases are truly international with examples from Europe, Asia, USA and Africa.   Project Marketing: Beyond Competitive Bidding can be used a textbook for MBA and other masters-level courses in project marketing and project management. It will also be highly relevant for practitioners and participants in executive and in-company training programs.","Business Marketing Strategic management"
"20",10040666,-0.0395923429633703,-0.0133614550900994,4,2,"Finance","Financial management","Ownership and Value Creation : Strategic Corporate Governance in the New Economy","Carlsson, Rolf H.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471632198.jpg","calpers corporate governance","""Praise for Ownership and Value Creation """"Who owns the modern company? And how should owners behave? Rolf H. Carlsson brings a fresh eye and historical depth to the issue of ownership, management and value creation that every firm and its owners must consider."""" Frances Cairncross, Management Editor, The Economist """"Rolf H. Carlsson gives a valuable historical review and illustrates with cases how active ownership has played an important role in company development...gives...interesting views on where corporate governance is heading and...advice on how to make it work well."""" Percy Barnevik, Chairman of ABB, AstraZeneca, Investor, and Sandvik; Director (non-exec.) of GM """"The nuanced and rich analysis of ownership competence which can be found in Rolf H. Carlsson's book goes far beyond the traditional debate and provides truly interesting and valuable insights for investors, industrialists, entrepreneurs, and owners both in the private and the public sectors."""" Richard Normann, Professor, Chairman of SMG """"Rolf H. Carlsson (analyses the) process...of (creating) long-term shareholder value...in which our model for corporate governance is key, and provides valuable insights into our approach to business."""" Marcus Wallenberg, CEO, Investor AB """"Rolf H. Carlsson's...book on ownership (has been) eagerly awaited by the governance community. Carlsson is uniquely able to illumine those areas in which Swedish corporate structuring has been ahead of the world. It is a book that we all look forward to reading."""" Robert A. G. Monks, Principal, Lens Investment Management """"Carlsson...outlines a powerful frame of reference and analytical tools to address issues of value creation and the role of active owners. This book is a significant contribution to the all-important issues of corporate governance. I was intrigued and pleased to read it."""" Richard H. Koppes, Jones Day and Stanford Law School; former General Counsel, CalPERS """"...adds new perspectives by highlighting the demanding challenges of globalisation. A remarkable new book on the crucial issues of ownership and corporate governance."""" Dr R. Marsch-Barner, Senior Counsel, Deutsche Bank AG """"This innovative book puts the spotlight on those who have the ultimate responsibility for corporate governance, the owners. It provides useful insight into the ways of effective ownership."""" Professor Jay W. Lorsch, Harvard Business School""","Corporate law Management Corporate governance Information governance Records management Percy Barnevik CalPERS Carlsson Marcus Wallenberg Governance"
"21",10040667,-0.0791535479195148,0.04279729659337,6,3,"Economics","Mathematical economics","Implementing Derivatives Models","Clewlow, Les","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471966517.jpg","jarrow option pricing short rate models","Derivatives markets, particularly the over-the-counter market in complex or exotic options, are continuing to expand rapidly on a global scale, However, the availability of information regarding the theory and applications of the numerical techniques required to succeed in these markets is limited. This lack of information is extremely damaging to all kinds of financial institutions and consequently there is enormous demand for a source of sound numerical methods for pricing and hedging. Implementing Derivatives Models answers this demand, providing comprehensive coverage of practical pricing and hedging techniques for complex options.  Highly accessible to practitioners seeking the latest methods and uses of models, including   The Binomial Method  Trinomial Trees and Finite Difference Methods  Monte Carlo Simulation  Implied Trees and Exotic Options  Option Pricing, Hedging and Numerical Techniques for Pricing Interest Rate Derivatives  Term Structure Consistent Short Rate Models  The Heath, Jarrow and Morton Model   Implementing Derivatives Models is also a potent resource for financial academics who need to implement, compare, and empirically estimate the behaviour of various option pricing models.","Options Mathematical finance Trinomial tree Derivative Interest rate derivative Certificate in Quantitative Finance Binomial options pricing model"
"22",10041555,0.0415576234074135,-0.0723518623732147,2,1,"Business","Strategy - Marketing","Prime Movers : Define Your Business or Have Someone Define It Against You","Ramirez, Rafael","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471899445.jpg","bioproducts constellation customer relationships nokia open systems visa","This book deals with the frameworks between customers and suppliers. These frameworks link a customer's own value creating activities to the competencies and resources of the supplying firm(s). Both the short term (financial) and long term (knowledge) benefits to using this approach are discussed.","Strategic management Management Business Marketing Business model Mover Prime mover Nokia"
"23",10041556,0.037605328137797,-0.0414957676106057,2,1,"Business","Strategy - Marketing","Understanding Marketing : A European Casebook","Kestemont, Marie-Paule","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/047186093x.jpg","casebook soft drinks","Understanding Marketing has been written by marketing lecturers drawn from leading universities and business schools throughout Europe. This collection of case studies covers a broad range of marketing issues, including: strategic marketing; new products; branding; marketing communication and promotion; business-to-business marketing; and product pricing and distribution.   Includes 20 cases written by lecturers from universities in 14 different European countries belonging to the CEMS network  The cases cover a wide range of products: brewing, soft drinks, mobile telephones, banking,textiles, skin products and office furniture being only a selection of the products included  The cases are of ideal length for a two-hour seminar or lecture discussion  Small and not-for-profit organizations are discussed as well as multinational organizations   Suitable for undergraduate, MBA and other graduate-level courses in marketing, marketing management, international marketing and European marketing.","Marketing Business marketing Brand Global Alliance in Management Education"
"24",10041557,-0.093960759744723,0.0208659107020204,3,2,"Finance","Risk","Pricing Convertible Bonds","Connolly, Kevin B.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471978728.jpg","city university business school convertible bonds descriptive statistics","The Convertible Bonds (CB) market is growing all the time. To date, over one trillion dollars worth of CBs are in circulation. Corporations are finding this source of fund-raising more and more attractive. And for different reasons, the buyers are finding CBs increasingly attractive investment vehicles.  There are few works on the subject of pricing convertible bonds. Most books discussing derivative products cover all details of pricing futures and options in minute detail. Convertible bonds and warrants are usually mentioned as an after thought in the latter chapters. This is the first book to address the very complex issue of pricing convertible bonds.  Kevin Connolly, Researcher of complex volatility trading for Refco Overseas Ltd. and Lecturer at City University Business School and London Guildhall University, has put together an excellent treatment of pricing convertible bonds, delving into topics such as:   Returns distributions and associated descriptive statistics  Modeling the share price process  The basic convertible bond model  Introducing the complications  Convertible bond sensitivities  Using equity warrant models to price CBs  Refix clauses   Fund managers, hedge players/traders, undergraduates and postgraduates will find this book invaluable. Easy to understand software on Microsoft Excel spreadsheets is also supplied.","Convertible bond Corporate finance Convertible security Bond Fixed income analysis Debt Convertible arbitrage Options"
"25",10041558,0.00178495131218029,0.112659371562601,6,3,"Economics","Mathematical economics","Monte Carlo Methods in Finance","Jaeckel, Peter","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/047149741x.jpg","asian options copula correlation matrix diffusion greeks heuristics importance sampling inversion mathematics mersenne twister monte carlo methods quantitative analysts risk management swaptions variance wiener process","An invaluable resource for quantitative analysts who need to run models that assist in option pricing and risk management. This concise, practical hands on guide to Monte Carlo simulation introduces standard and advanced methods to the increasing complexity of derivatives portfolios.  Ranging from pricing more complex derivatives, such as American and Asian options, to measuring Value at Risk, or modelling complex market dynamics, simulation is the only method general enough to capture the complexity and Monte Carlo simulation is the best pricing and risk management method available.  The book is packed with numerous examples using real world data and is supplied with a CD to aid in the use of the examples.","Monte Carlo methods Variance reduction Numerical analysis Probabilistic complexity theory Quantitative analyst Random variate Copula Monte Carlo methods in finance Markov chain Monte Carlo"
"26",10041559,0.026043831502896,-0.0225386575267315,1,1,"Business","HR - Leadership","Accelerating International Growth","Rosenzweig, Philip M.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471496596.jpg","human resource management","The third title from Executive Development from IMD is devoted to Accelerating International Growth, one of today's most crucial business challenges. It provides the knowledge and the tools needed to speed up the development process and reach a stronger global position efficiently and quickly, and is firmly focused on answering the real questions facing leading companies as they undertake expansion in the field. Accelerating International Growth focuses on the strategic, organizational and human aspects of international growth. The book is aimed at practising managers in companies that are either in the process of expanding internationally, or are considering whether to do so.  Philip Rosenzweig and his IMD colleagues combine a thorough conceptual understanding of the attractions and challenges of international growth with a practical explanation of the key elements of successful implementation. Foreign entry modes, managing entry and post-entry phases, cross-border joint ventures, organizational learning, and human resource management are all explored in detail. Readers will emerge with the skills to clearly understand what drives the process, identify the key challenges, and avoid the greatest pitfalls.",NA
"27",10041560,-0.0923261524124509,-0.00949733451331132,4,2,"Finance","Financial management","Insurance : From Underwriting to Derivatives","Briys, Eric","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471492272.jpg","life insurance","An in-depth look at the increasingly significant convergence between the insurance industry and the capital markets.  	This important publication, by two premier financial experts, explores the unique convergence of finance and insurance. The book covers the basics of property-casualty insurance, securitizing insurance risks, looks at life insurance in the United States and ALM in insurance. It addresses the questions and concerns of investment banks, brokerage firms and the insurance/reinsurance sector itself, examines ongoing trends and issues, and how current market pressures on insurance companies do not just create challenges but actually point the way to future promising developments.","Financial institutions Actuarial science Types of insurance Insurance Reinsurance Alternative risk transfer"
"28",10041561,0.0323185942174375,0.0794508429948177,6,3,"Economics","Mathematical economics","Introduction to Econometrics","Maddala, G. S.","John Wiley & Sons","http://static.cyberlibris.fr/books_upload/136pix/0471497282.jpg","cointegration econometrics panel data","Introduction to Econometrics has been significantly revised to include new developments in the field. The previous editions of this text were renowned for Maddala's clear exposition and the presentation of concepts in an easily accessible manner.  Features:   New chapters have been included on panel data analysis, large sample inference and small sample inference  Chapter 14 Unit Roots and Cointegration has been rewritten to reflect recent developments in the Dickey-Fuller (DF), the Augmented Dickey-Fuller (ADF) tests and the Johansen procedure  A selection of data sets and the instructor's manual for the book can be found on our web site","Time series analysis Statistical tests Econometrics Mathematical finance Econometricians Johansen test Dickey–Fuller test Cointegration Unit root G. S. Maddala"
